pmid,abstract
22689182,yes
17166998,Optional Inclusion
22682667,no
19446975,yes
17140957,yes
14512512,yes
21380783,yes
12886128,yes
22899197,yes
20651192,yes
22423060,supporting study
21051648,no
19632852,yes
19464906,yes
16683115,yes
16896664,no
21169287,yes
22429676,yes
20847531,yes
22808763,yes
20309686,yes
23158997,no
21514978,yes
21789758,no
17242237,yes
19004519,no
16236886,yes
18670805,yes
22336234,yes
20026540,no
22219418,yes
22405953,yes
22290887,yes
19933240,yes
18696206,no
16405752,no
18282357,yes
19318322,no
16455636,no
22772365,
19272791,
19660381,
22237120,
16863739,
23171752,
17311309,
18374761,
17320577,
21164366,
19453526,
21511421,
23557204,
20932700,
19581636,
18329480,
21692019,
17920724,
16181842,
22632985,
19039263,
19571281,
21697783,
20087533,
15337041,
20122515,
16219937,
21926377,
19615286,
18788639,
17687098,
21619964,
16014441,
17896365,
22883546,
12815135,
22290911,
16423207,
19366724,
18177978,
21552018,
18552311,
23242821,
21441257,
22459646,
21587082,
16966480,
17462407,
19430783,
18651256,
22677701,
21185733,
19118267,
22100657,
19781319,
21971924,
22653189,
22358427,
18242247,
21066996,
19091887,
20124294,
18424949,
19995654,
22374706,